Event	ID	Name			Wwise Object Path	Notes
	315820938	Stop_pajaros			\Default Work Unit\Stop_pajaros	
	439637824	Play_pajaros			\Default Work Unit\Play_pajaros	
	621083434	Caminar			\Default Work Unit\Caminar	
	857735618	Stop_susurros			\Default Work Unit\Stop_susurros	
	965259714	Encender_Apagar_Linterna			\Default Work Unit\Encender_Apagar_Linterna	
	1677052056	MusicaDeFondo			\Default Work Unit\MusicaDeFondo	
	1708550700	Play_susurros			\Default Work Unit\Play_susurros	
	1791125631	Stop_sustos			\Default Work Unit\Stop_sustos	
	2103939707	MusicaFondoStop			\Default Work Unit\MusicaFondoStop	
	3927230193	Play_sustos			\Default Work Unit\Play_sustos	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4786707	Footsteps_DirtyGround_Walk_08	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\8C\{8C910A77-5401-D538-D374-377CC7794746}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pasos\Footsteps_DirtyGround_Walk_08		37206
	34503492	Footsteps_DirtyGround_Walk_03	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\8D\{8D97C2B3-9C28-4D16-F66B-BB9CAA5CC55F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pasos\Footsteps_DirtyGround_Walk_03		37510
	37204035	Footsteps_DirtyGround_Walk_02	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\A0\{A00F36F3-B2D9-47E3-DC2D-B88186DB1FD4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pasos\Footsteps_DirtyGround_Walk_02		33168
	87833451	Footsteps_DirtyGround_Walk_04	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\4F\{4F8F87BE-3A94-825C-9AD6-9A6F850BE445}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pasos\Footsteps_DirtyGround_Walk_04		38550
	105325526	Misc_Laugh	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\AF\{AFE4AA4B-C6B8-EE2C-034B-FDCC88F1289A}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SonidosAterradores\Misc_Laugh		882096
	189913512	Click_023	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\E5\{E5FB8203-09FA-EC51-635D-AC4A478C8E0F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Click_023		42924
	195844773	Misc_Whisper	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\E0\{E021A59B-8244-CC67-DD16-59F3B11D0DFF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Misc_Whisper		4233744
	326648028	Morning Exploring Loop	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\80\{80755628-6737-3417-EEAA-399798E10629}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Morning Exploring Loop		5292148
	333390971	Footsteps_DirtyGround_Walk_10	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\7F\{7FBF178A-F120-A10B-390C-F34C080A5170}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pasos\Footsteps_DirtyGround_Walk_10		46512
	488232439	Misc_Shh	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\B5\{B52766A7-0FB4-DA4C-1E72-E23155AD5B68}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SonidosAterradores\Misc_Shh		727748
	685097410	Footsteps_DirtyGround_Walk_09	C:\Users\Gustavo\Desktop\TP-Optimizaci-n\TP-Optimización\TP-Optimización_WwiseProject\.cache\32\{32264299-D222-83E2-D560-E5F2A9E7C499}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pasos\Footsteps_DirtyGround_Walk_09		33786
